number,symbol,name,mass,cpkHexColor,electronConfiguration,electronNegativity,radius,ionRadius,vanDelWaalsRadius,ionizationEnergy,electronAffinity,oxidationStates__001,oxidationStates__002,standardState,bondingType,meltingPoint,boilingPoint,density,family,yearDiscovered,oxidationStates__003,oxidationStates__004,oxidationStates__005,oxidationStates__006,oxidationStates__007,oxidationStates__008,oxidationStates__009,oxidationStates__010
83,Bi,Bismuth,208.9804,#9e4fb5,[Xe] 4f14 5d10 6s2 6p3,2.02,146,103,null,703,-91,-3,3,solid,metallic,544,1837,9.78,metal,null,5,,,,,,,
84,Po,Polonium,209,#ab5c00,[Xe] 4f14 5d10 6s2 6p4,2,null,94,null,812,-183,-2,2,solid,metallic,527,1235,9.2,metalloid,1898,4,6,,,,,,
85,At,Astatine,210,#754f45,[Xe] 4f14 5d10 6s2 6p5,2.2,null,62,null,920,-270,-1,1,solid,covalent network,575,null,null,halogen,1940,3,5,,,,,,
86,Rn,Radon,222,#428296,[Xe] 4f14 5d10 6s2 6p6,null,145,null,null,1037,null,2,,gas,atomic,202,211,0.01,noble gas,1900,,,,,,,,
87,Fr,Francium,223,#420066,[Rn] 7s1,0.7,null,180,null,380,null,1,,solid,metallic,null,null,null,alkali metal,1939,,,,,,,,
88,Ra,Radium,226,#007d00,[Rn] 7s2,0.9,null,148,null,509,null,2,,solid,metallic,973,2010,5,alkaline earth metal,1898,,,,,,,,
89,Ac,Actinium,227,#70abfa,[Rn] 6d1 7s2,1.1,null,112,null,499,null,3,,solid,metallic,1323,3473,10.07,actinoid,1899,,,,,,,,
90,Th,Thorium,232.03806,#00baff,[Rn] 6d2 7s2,1.3,null,94,null,587,null,2,3,solid,metallic,2023,5093,11.72,actinoid,1828,4,,,,,,,
91,Pa,Protactinium,231.03588,#00a1ff,[Rn] 5f2 6d1 7s2,1.5,null,104,null,568,null,3,4,solid,metallic,1845,4273,15.37,actinoid,1913,5,,,,,,,
92,U,Uranium,238.02891,#008fff,[Rn] 5f3 6d1 7s2,1.38,null,102.5,186,598,null,3,4,solid,metallic,1408,4200,19.05,actinoid,1789,5,6,,,,,,
93,Np,Neptunium,237,#0080ff,[Rn] 5f4 6d1 7s2,1.36,null,110,null,605,null,3,4,solid,metallic,917,4273,20.45,actinoid,1940,5,6,7,,,,,
94,Pu,Plutonium,244,#006bff,[Rn] 5f6 7s2,1.28,null,100,null,585,null,3,4,solid,metallic,913,3503,19.82,actinoid,1940,5,6,7,,,,,
95,Am,Americium,243,#545cf2,[Rn] 5f7 7s2,1.3,null,126,null,578,null,2,3,solid,metallic,1449,2284,13.67,actinoid,1944,4,5,6,,,,,
96,Cm,Curium,247,#785ce3,[Rn] 5f7 6d1 7s2,1.3,null,97,null,581,null,3,4,solid,metallic,1618,3383,13.51,actinoid,1944,,,,,,,,
97,Bk,Berkelium,247,#8a4fe3,[Rn] 5f9 7s2,1.3,null,96,null,601,null,3,4,solid,metallic,1323,null,14.78,actinoid,1949,,,,,,,,
98,Cf,Californium,251,#a136d4,[Rn] 5f10 7s2,1.3,null,95,null,608,null,2,3,solid,metallic,1173,null,15.1,actinoid,1950,4,,,,,,,
99,Es,Einsteinium,252,#b31fd4,[Rn] 5f11 7s2,1.3,null,null,null,619,null,2,3,solid,,1133,null,null,actinoid,1952,,,,,,,,
100,Fm,Fermium,257,#b31fba,[Rn] 5f12 7s2,1.3,null,null,null,627,null,2,3,,,1800,null,null,actinoid,1952,,,,,,,,
101,Md,Mendelevium,258,#b30da6,[Rn] 5f13 7s2,1.3,null,null,null,635,null,2,3,,,1100,null,null,actinoid,1955,,,,,,,,
102,No,Nobelium,259,#bd0d87,[Rn] 5f14 7s2,1.3,null,null,null,642,null,2,3,,,1100,null,null,actinoid,1957,,,,,,,,
103,Lr,Lawrencium,262,#c70066,[Rn] 5f14 7s2 7p1,1.3,null,null,null,null,null,3,,,,1900,null,null,transition metal,1961,,,,,,,,
104,Rf,Rutherfordium,267,#cc0059,[Rn] 5f14 6d2 7s2,null,null,null,null,null,null,4,,,,null,null,null,transition metal,1969,,,,,,,,
105,Db,Dubnium,268,#d1004f,[Rn].5f14.6d3.7s2,null,null,null,null,null,null,,,,,null,null,null,transition metal,1967,,,,,,,,
106,Sg,Seaborgium,271,#d90045,[Rn].5f14.6d4.7s2,null,null,null,null,null,null,,,,,null,null,null,transition metal,1974,,,,,,,,
107,Bh,Bohrium,272,#e00038,[Rn].5f14.6d5.7s2,null,null,null,null,null,null,,,,,null,null,null,transition metal,1976,,,,,,,,
108,Hs,Hassium,270,#e6002e,[Rn].5f14.6d6.7s2,null,null,null,null,null,null,,,,,null,null,null,transition metal,1984,,,,,,,,
109,Mt,Meitnerium,276,#eb0026,[Rn].5f14.6d7.7s2,null,null,null,null,null,null,,,,,null,null,null,transition metal,1982,,,,,,,,
110,Ds,Darmstadtium,281,null,[Rn].5f14.6d9.7s1,null,null,null,null,null,null,,,,,null,null,null,transition metal,1994,,,,,,,,
111,Rg,Roentgenium,280,null,[Rn].5f14.6d10.7s1,null,null,null,null,null,null,,,,,null,null,null,transition metal,1994,,,,,,,,
112,Cn,Copernicium,285,null,[Rn].5f14.6d10.7s2,null,null,null,null,null,null,,,,,null,null,null,transition metal,1996,,,,,,,,
113,Uut,Ununtrium,284,null,[Rn].5f14.6d10.7s2.7p1,null,null,null,null,null,null,,,,,null,null,null,metal,2003,,,,,,,,
114,Uuq,Ununquadium,289,null,[Rn].5f14.6d10.7s2.7p2,null,null,null,null,null,null,,,,,null,null,null,metal,1998,,,,,,,,
115,Uup,Ununpentium,288,null,[Rn].5f14.6d10.7s2.7p3,null,null,null,null,null,null,,,,,null,null,null,halogen,2003,,,,,,,,
116,Uuh,Ununhexium,293,null,[Rn].5f14.6d10.7s2.7p4,null,null,null,null,null,null,,,,,null,null,null,noble gas,2000,,,,,,,,
117,Uus,Ununseptium,null,null,[Rn].5f14.6d10.7s2.7p5,null,null,null,null,null,null,,,,,null,null,null,alkali metal,2010,,,,,,,,
118,Uuo,Ununoctium,294,null,[Rn].5f14.6d10.7s2.7p6,null,null,null,null,null,null,,,,,null,null,null,alkaline earth metal,2002,,,,,,,,
